,movieId,title_en,title_ko,genres,year,vote_average,vote_count,director,actor,poster,link
0,1,Toy Story (1995),토이 스토리,Adventure Animation Children Comedy Fantasy,1995,7.7,5415.0,존 라세터,"['톰 행크스', '팀 알렌']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7153-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17153
1,2,Jumanji (1995),쥬만지,Adventure Children Fantasy,1995,6.9,2413.0,조 존스톤,"['로빈 윌리엄스', '커스틴 던스트', '데이빗 알란 그리어', '아담 한 바이어드', '보니 헌트', '조나단 하이드', '베베 뉴워스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7440-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17440
2,6,Heat (1995),히트,Action Crime Thriller,1995,7.7,1886.0,마이클 만,"['알 파치노', '로버트 드 니로']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0173/17327_P24_133902.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17327
3,10,GoldenEye (1995),007 골든 아이,Action Adventure Thriller,1995,6.6,1194.0,마틴 캠벨,['피어스 브로스넌'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7149-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17149
4,16,Casino (1995),카지노,Crime Drama,1995,7.8,1343.0,마틴 스코세이지,"['로버트 드 니로', '샤론 스톤', '조 페시']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0172/A7231-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17231
5,18,Four Rooms (1995),포 룸,Comedy,1995,6.5,539.0,앨리슨 앤더스,['팀 로스'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7464-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17464
6,19,Ace Ventura: When Nature Calls (1995),에이스 벤츄라 2,Comedy,1995,6.1,1128.0,스티브 오데커크,['짐 캐리'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0172/A7274-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17274
7,32,Twelve Monkeys (1995),12 몽키즈,Mystery Sci-Fi Thriller,1995,7.4,2470.0,테리 길리엄,"['브루스 윌리스', '매들린 스토우', '브래드 피트']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/A7758-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17758
8,34,Babe (1995),꼬마 돼지 베이브,Children Drama,1995,6.0,756.0,크리스 누난,"['제임스 크롬웰', '마그다 즈밴스키', '크리스틴 카바나']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0175/A7538-02.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17538
9,39,Clueless (1995),클루리스,Comedy Romance,1995,6.9,828.0,에이미 해커링,"['알리시아 실버스톤', '폴 러드', '스테이시 대쉬', '브리트니 머피', '댄 헤다야', '제레미 시스토']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7417-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17417
10,44,Mortal Kombat (1995),모탈 컴뱃,Action Adventure Fantasy,1995,5.4,452.0,폴 앤더슨,"['크리스토퍼 램버트', '위룡']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/17708_P34_231851.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17708
11,48,Pocahontas (1995),포카혼타스,Animation Children Drama Musical Romance,1995,6.7,1509.0,마이크 가브리엘,"['아이린 베다드', '주디 쿤', '멜 깁슨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0172/17230_P26_151145.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17230
12,50,The Usual Suspects (1995),유주얼 서스펙트,Crime Mystery Thriller,1995,8.1,3334.0,브라이언 싱어,"['스티븐 볼드윈', '가브리엘 번']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17150_P27_141021.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17150
13,69,Friday (1995),프라이데이,Comedy,1995,7.0,513.0,F. 게리 그레이,"['아이스 큐브', '크리스 터커', '니아 롱', '토미 타이니 리스터', '안나 마리아 호스포드', '레지나 킹', '폴라 자이 파커']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0288/28874_P02_154808.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=28874
14,70,From Dusk Till Dawn (1996),황혼에서 새벽까지,Action Comedy Horror Thriller,1996,6.9,1644.0,로버트 로드리게즈,"['하비 케이틀', '조지 클루니', '쿠엔틴 타란티노', '줄리엣 루이스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0190/19019_P09_165249.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=19019
