movieId,title_en,title_ko,genres,year,vote_average,vote_count,director,actor,poster,link
1,Toy Story (1995),토이 스토리,Adventure|Animation|Children|Comedy|Fantasy,1995,7.7,5415.0,존 라세터,"['톰 행크스', '팀 알렌']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7153-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17153
2,Jumanji (1995),쥬만지,Adventure|Children|Fantasy,1995,6.9,2413.0,조 존스톤,"['로빈 윌리엄스', '커스틴 던스트', '데이빗 알란 그리어', '아담 한 바이어드', '보니 헌트', '조나단 하이드', '베베 뉴워스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7440-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17440
3,Grumpier Old Men (1995),그럼피어 올드 맨,Comedy|Romance,1995,6.5,92.0,하워드 도이치,"['월터 매튜', '잭 레먼', '앤 마그렛']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0189/A8917-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18917
4,Waiting to Exhale (1995),사랑을 기다리며,Comedy|Drama|Romance,1995,6.1,34.0,포레스트 휘태커,"['휘트니 휴스턴', '안젤라 바셋', '로레타 드바인']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/A7798-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17798
5,Father of the Bride Part II (1995),신부의 아버지 2,Comedy,1995,5.7,173.0,찰스 샤이어,"['스티브 마틴', '다이안 키튼', '마틴 숏']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/A7754-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17754
6,Heat (1995),히트,Action|Crime|Thriller,1995,7.7,1886.0,마이클 만,"['알 파치노', '로버트 드 니로']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0173/17327_P24_133902.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17327
7,Sabrina (1995),사브리나,Comedy|Romance,1995,6.2,141.0,시드니 폴락,"['해리슨 포드', '줄리아 오몬드', '그렉 키니어']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/17447_P02_151137.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17447
8,Tom and Huck (1995),톰과 허크,Adventure|Children,1995,5.4,45.0,피터 휴잇,"['조나단 테일러 토마스', '브래드 렌프로', '에릭 슈웨이그']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0251/B5130-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=25130
9,Sudden Death (1995),서든 데쓰,Action,1995,5.5,174.0,피터 하이암스,['장 끌로드 반담'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0173/A7342-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17342
10,GoldenEye (1995),007 골든 아이,Action|Adventure|Thriller,1995,6.6,1194.0,마틴 캠벨,['피어스 브로스넌'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7149-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17149
