movieId,title_en,title_ko,genres,year,vote_average,vote_count,director,actor,poster,link
1,Toy Story (1995),토이 스토리,Adventure|Animation|Children|Comedy|Fantasy,1995,7.7,5415,존 라세터,"['톰 행크스', '팀 알렌']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7153-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17153
50,The Usual Suspects (1995),유주얼 서스펙트,Crime|Mystery|Thriller,1995,8.1,3334,브라이언 싱어,"['스티븐 볼드윈', '가브리엘 번']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17150_P27_141021.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17150
110,Braveheart (1995),브레이브하트,Action|Drama|War,1995,7.7,3404,멜 깁슨,"['멜 깁슨', '소피 마르소', '패트릭 맥구한']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17162_P20_153317.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17162
296,Pulp Fiction (1994),펄프 픽션,Comedy|Crime|Drama|Thriller,1994,8.3,8670,쿠엔틴 타란티노,"['존 트라볼타', '사무엘 L. 잭슨', '우마 서먼', '하비 케이틀', '팀 로스', '아만다 플러머', '마리아 드 메데이로스', '빙 라메스', '에릭 스톨츠', '로잔나 아퀘트', '크리스토퍼 월켄', '브루스 윌리스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/A6571-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16571
318,The Shawshank Redemption (1994),쇼생크 탈출,Crime|Drama,1994,8.5,8358,프랭크 다라본트,"['팀 로빈스', '모건 프리먼']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/17421_P16_095733.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17421
356,Forrest Gump (1994),포레스트 검프,Comedy|Drama|Romance|War,1994,8.2,8147,로버트 저메키스,['톰 행크스'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17159_P12_153452.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17159
364,The Lion King (1994),라이온 킹,Adventure|Animation|Children|Drama|Musical|IMAX,1994,8.0,5520,로저 알러스,"['조나단 테일러 토마스', '매튜 브로데릭', '제임스 얼 존스', '제레미 아이언스', '모이라 켈리', '니케타 캘레임']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0165/16521_P45_105412.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=16521
480,Jurassic Park (1993),쥬라기 공원,Action|Adventure|Sci-Fi|Thriller,1993,7.6,4956,스티븐 스필버그,"['샘 닐', '로라 던', '제프 골드브럼', '리차드 아텐보로']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0135/13500_P67_115619.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13500
527,Schindler's List (1993),쉰들러 리스트,Drama|War,1993,8.3,4436,스티븐 스필버그,['리암 니슨'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0144/14450_P20_095419.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=14450
541,Blade Runner (1982),블레이드 러너,Action|Sci-Fi|Thriller,1982,7.9,3833,리들리 스콧,['해리슨 포드'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0109/10962_P59_104320.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=10962
588,Aladdin (1992),알라딘,Adventure|Animation|Children|Comedy|Musical,1992,7.4,3495,존 머스커,"['스콧 와인거', '로빈 윌리엄스', '린다 라킨']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0130/13008_P25_151011.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=13008
